18	7	[#6,#1]C([#6,#1])(O[#6])(O[#6])	COC(C)(OC)C	CC1(C)OCCO1
1773	9	[!#1][CH2][CH2][CH2][NH]S(=O)(=O)[!#1]	CS(=O)(=O)NCCCC	NCCCNS(=O)(=O)C=1C=CC=2C=CC=CC2C1	O=S(=O)(NCCCC)C=1C=CC=CC1
1776	7	[!#1][CH2][CH2][CH2]C(=O)[!#1]	O=C(O)CCCC	O=C(N)CCCC
1778	7	[!#1][CH2][CH2][CH2]C(=O)[OH]	O=C(O)CCCC
1779	8	[!#1][CH2][CH2][CH2]C(=O)O[CH3]	O=C(OC)CCCC
1795	7	[!#1][CH2][CH2][NH]C(=O)[!#1]	O=C(C)NCCC	O=C1C=CCCN1	CC(=O)NCCC1=NC=2C=CC=CC2N1
1799	9	[!#1][CH2][CH2][NH]C(=O)[CH2][CH2][!#1]	O=C(NCCC)CCC	O=C(NCCC1=CNC=2C=CC=CC21)CCC
1801	7	[!#1][CH2][CH2][NH]C(=O)[CH3]	CCCNC(=O)C
1805	4	[!#1][CH2][CH2][NH2]	CCCN
1821	9	[!#1][CH2][CH2]c1[cH][cH][cH][cH][cH]1	OCCC=1C=CC=CC1
1832	10	[!#1][CH2][CH2]N([!#1])[CH2][CH2]N([!#1])[CH3]	CCCN1CCN(C)CC1	NCCN(C)CCN(C)C	N1PN(C)CCN(C)CC1
1867	6	[!#1][CH2][CH2]S[CH2][!#1]	CCSCCN	S1CCCCC1	S1CC=2C=3C=CC=CC3NC2CC1
1891	7	[!#1][CH2][NH]C(=O)[CH2][!#1]	O=C(NCC)CC	O=C1NCCCC1	O=C(NCC1=NC=2C=CC=CC2N1)CS
1897	12	[!#1][CH2][NH]C(=O)C(=[CH][!#1])[NH]C(=O)[!#1]	CC=C(NC(C)=O)C(=O)NCC	O=C(NC(=CC=1C=CC=CC1)C(=O)NCC)C=2C=CC=CC2	CC(=O)NC(=CC=1OC=CC1)C(=O)NCC
1914	6	[!#1][CH2]C(=O)[NH][!#1]	CNC(=O)CC	O=C1NC=2C=CC=CC2NC1
1916	11	[!#1][CH2]C(=O)[NH][CH]([!#1])C(=O)[NH][!#1]	O=C(NC(C)C(=O)NC)CN	CNC(=O)C(C)NC(=O)CC1=CC=CC=2C=CC=CC21
1921	8	[!#1][CH2]C(=O)[NH][CH2][CH2][OH]	O=C(NCCO)CC
1923	7	[!#1][CH2]C(=O)[NH][NH][!#1]	CNNC(=O)CO	CNNC(=O)CC=1C=CC=CC1	CNNC(=O)CS
1974	8	[!#1][CH2]c1[cH][cH][cH][cH][cH]1	CCC=1C=CC=CC1	N1=NC(=NN1)C2=NC=CN2CC=3C=CC=CC3
2005	7	[!#1][CH2]c1[cH][cH]o[cH]1	NCC1=COC=C1
2019	11	[!#1][CH2]N([!#1])C(=O)[CH2][CH2]C(=O)[!#1]	O=C(N)CCC(=O)N(C)CC
2066	6	[!#1][CH2]OC(=O)[CH3]	O=C(OCC)C
2166	6	[!#1][NH][CH2][CH]([!#1])[!#1]	OC1CCNC1	CNCC(C)C	N=1C=C(C=2SC=CC2)N3N=C(SC13)NCC(C)C
2169	8	[!#1][NH][CH2][CH]([OH])[CH2]O[!#1]	COCC(O)CNC	CNCC(O)COC1=CC=CC=2NC=CC12	OC(COC=1C=CC=2NC=3C=CC=CC3C2C1)CNC
2186	7	[!#1][NH][CH2][CH2]C(=O)[!#1]	CNCCC(=O)O	O=C1C2=CN=C3C=CC=CC3=C2NCC1	CC(=O)CCNC=1C=CC2=C(OC=3C=CC=CC32)C1
2195	8	[!#1][NH][CH2][CH2]S(=O)(=O)[OH]	CNCCS(=O)(=O)O
2218	3	[!#1][NH][CH3]	CNC	SNC	SNC
2231	8	[!#1][NH]C([!#1])([!#1])C(=O)[!#1]	O=C1NCNC1(C)C	CNC(O)(C)C(=O)N	O=C(N)C(C)(NC=1N=C(N=CC1)C2=CNC=3N=CC=CC32)C
2249	9	[!#1][NH]C(=O)[CH]([!#1])[CH]([CH3])[CH3]	O=C(NC)C(N)C(C)C	O=C1NC=2C=CC=CC2NC1C(C)C
2274	7	[!#1][NH]C(=O)[CH2][CH2][CH3]	O=C(NC)CCC	O=C(NC=1N=C(C=C(N1)C=2C=CC=CC2)C=3C=CC=CC3)CCC
2308	8	[!#1][NH]C(=O)[NH]C(=O)[!#1]	O=C1CCNC(=O)N1	O=C(N)NC(=O)NS
2316	5	[!#1][NH]C(=O)[NH2]	O=C(N)NC
2317	9	[!#1][NH]C(=O)C([!#1])([!#1])[NH][!#1]	CC1(O)NCCNC1=O	CNC(C(=O)NC)(C)C	CNC1(C)C=CNC1=O
2340	6	[!#1][NH]C(=O)O[CH3]	O=C(OC)NC
2374	12	[!#1][NH]C1([CH2][CH]2[CH2][CH]3[CH2][CH]([CH2]2)[CH2]1)[CH2]3	CNC12CC3CC(CC(C3)C1)C2
2392	11	[!#1][NH]c1[cH][cH][cH][cH]c1C(=O)[OH]	O=C(O)C=1C=CC=CC1NC	O=C(O)C=1C=CC=CC1NS	NNC=1C=CC=CC1C(=O)O
2458	10	[!#1][NH]c1[cH][cH]c(F)c(Cl)[cH]1	FC1=CC=C(C=C1Cl)NS
2566	10	[!#1]C([!#1])([!#1])c1[cH][cH][cH][cH][cH]1	CC(C)(O)C=1C=CC=CC1	FC1(CC1)C=2C=CC=CC2	OC1(C=2C=CC=CC2)C=3C=CC=CC3C=4C=CC=CC41
2623	10	[!#1]C(=O)[CH2][CH2][CH2][CH2][CH2][CH2][CH3]	O=C(N)CCCCCCC
2627	10	[!#1]C(=O)[CH2][CH2][CH2][CH2]C(=O)[!#1]	OC(=O)CCCCC(=O)O
2664	8	[!#1]C(=O)[CH2]OC(=O)[!#1]	O=C(OCC(=O)N)C	OC(=O)COC(=O)C=1C=CC=CC1
2684	8	[!#1]C(=O)[NH][CH2][CH]([CH3])[CH3]	NC(=O)NCC(C)C
2695	7	[!#1]C(=O)[NH][CH2][CH2][CH3]	CC(=O)NCCC	O=C(N)NCCC	O=C(N)NCCC
2699	11	[!#1]C(=O)[NH][CH2][CH2]N([CH2][CH3])[CH2][CH3]	CC(=O)NCCN(CC)CC
2726	14	[!#1]C(=O)[NH]c1[cH][cH]c([cH][cH]1)S(=O)(=O)[!#1]	O=C(N)NC1=CC=C(C=C1)S(=O)(=O)N	O=C(NC1=CC=C(C=C1)S(=O)(=O)F)C
2844	10	[!#1]C(=O)c1[cH][cH][cH][cH]c1I	O=C(N)C=1C=CC=CC1I	O=C1OIC=2C=CC=CC12
2908	6	[!#1]C(=O)N([CH3])[CH3]	O=C(N)N(C)C	OC(=O)N(C)C	O=C(S)N(C)C
2914	9	[!#1]C(=O)N1[CH2][CH2]O[CH2][CH2]1	CC(=O)N1CCOCC1
2921	8	[!#1]C(=O)O[CH2][CH2][CH2][CH3]	O=C(N)OCCCC
2927	9	[!#1]C(=O)O[CH2][CH2]N([CH3])[CH3]	CC(=O)OCCN(C)C
2928	6	[!#1]C(=O)O[CH2][CH3]	CC(=O)OCC
2932	5	[!#1]C(=O)O[CH3]	CC(=O)OC	O=C(N)OC	CC(=O)OC
2962	8	[!#1]C1([OH])[CH2][CH2][CH2][CH2][CH2]1	CC1(O)CCCCC1
2998	6	[!#1]c1[cH][cH][cH][nH]1	CC1=CC=CN1	CC1=CC=CN1	CC1=CC=CN1
3000	9	[!#1]c1[cH][cH][cH]c([!#1])c1[!#1]	NC=1C(C)=CC=CC1C	FC1=CC=CC2=NNC(Br)=C12	SC1=CC=C2NCC3=CC=CC1=C32
3032	11	[!#1]c1[cH][cH][cH]c2[cH][cH][cH]nc12	OC=1C=CC=C2C=CC=NC12	N=1C=CC=C2C=CC=C(C12)C=3N=CC=C4C=5C=CC=CC5NC34
3053	9	[!#1]c1[cH][cH]c([!#1])c([!#1])[cH]1	CC1=CC=C(O)C=C1O	N=1NN=C2C=C(N)C=CC12
3054	10	[!#1]c1[cH][cH]c([!#1])c([!#1])c1[!#1]	CC1=CC=C(O)C(=C1O)C	N1=CC=C2C1=CC=C3NC(=NC(N)=C32)N
3062	9	[!#1]c1[cH][cH]c([!#1])c(Cl)[cH]1	SC1=CC=C(C)C=C1Cl	ClC1=CC(N)=CC=C1N2C=NC=C2	OC1=CC=C(F)C=C1Cl
3063	12	[!#1]c1[cH][cH]c([!#1])c2[cH][cH][cH][cH]c12	CC1=CC=C(C)C=2C=CC=CC12
3177	8	[!#1]c1[cH][cH]c([OH])[cH][cH]1	OC1=CC=C(C)C=C1
3192	11	[!#1]c1[cH][cH]c(C(=O)[OH])c([!#1])[cH]1	NC1=CC(N)=CC=C1C(=O)O	O=C(O)C=1C=CC(=CC1C)C2=CNC3=NC=C(C=C32)C=4C=CC=CC4	O=C(O)C1=CC=C(F)C=C1S
3195	9	[!#1]c1[cH][cH]c(Cl)[cH]c1[!#1]	OC1=CC(Cl)=CC=C1N	CC=1ON=C2C=CC(Cl)=CC12	ClC1=CC=C(C(Cl)=C1)C=2N=CSC2
3234	12	[!#1]c1[cH][cH]c2[cH][cH][cH][cH]c2c1[!#1]	OC=1C=CC=2C=CC=CC2C1C	N=1C=2C=CC=3C=CC=CC3C2C=C4C1C=CC5=CC=CC=C54
3243	13	[!#1]c1[cH][cH]c2[cH]c([!#1])c(=O)oc2[cH]1	CC1=CC=2C=CC(N)=CC2OC1=O	OC=1C=CC=2C=C(C(=O)OC2C1)C3=NC=4C=CC=CC4N3	NC1=CC=C2C=C(C(=O)OC2=C1)C3=NC=4C=CC=CC4S3
3331	12	[!#1]c1[cH][nH]c2[cH][cH]c(O[CH3])[cH]c12	CC1=CNC=2C=CC(OC)=CC12
3340	10	[!#1]c1[cH]c([!#1])c([!#1])c([!#1])[cH]1	CC=1C(O)=CC(O)=CC1O	FC=1C=C(F)C2=NC=CC(Cl)=C2C1	SC=1C=C(Cl)C=C(C1N)C
3343	10	[!#1]c1[cH]c([!#1])c([!#1])c(=O)[nH]1	CC=1C=C(NC(=O)C1C)C	CC1=CC(O)=C(N)C(=O)N1	CC1=CC(=C(C)C(=O)N1)C=2C=CC=CC2
3351	11	[!#1]c1[cH]c([!#1])n([!#1])c(=O)c1[!#1]	CC=1C=C(C)N(C)C(=O)C1C	CC=1C=C2C=3N=C4C=CC=CC4=CC3CN2C(=O)C1C	CC1=CC=2C=C(O)C(O)=CC2C(=O)N1C
3355	9	[!#1]c1[cH]c([!#1])nc([!#1])n1	CC=1N=C(N=C(C1)C)N	OC1=NC(F)=CC2=NC(S)=NN12	CC=1C=NN2C(C)=CC(=NC12)C=3C=CC=4C=CC=CC4C3
3384	9	[!#1]c1[cH]c(=O)[nH]c([!#1])n1	O=C1C=C(N=C(S)N1)C	O=C1C=C(N=C(C)N1)C=2SC=CC2	CC1=CC(=O)NC2=NC=3C=CC=CC3N12
3395	9	[!#1]c1[cH]c(Cl)[cH]c(Cl)[cH]1	ClC=1C=C(Cl)C=C(N)C1
3411	12	[!#1]c1[cH]c2[cH][cH][cH][cH]c2[cH]c1[OH]	CC1=CC=2C=CC=CC2C=C1O
3428	7	[!#1]c1[cH]n[nH]c1[!#1]	CC=1C=NNC1C	O=C1N=CN=C2NNC=C12	N1=CC(C=2C=CN=C3C=CC=CC32)=C(N1)C=4N=CC=CC4
3443	7	[!#1]c1[cH]sc([NH2])n1	N1=C(SC=C1C)N
3462	11	[!#1]C1=C([!#1])C(=O)[CH2]C([!#1])([CH3])[CH2]1	O=C1C(C)=C(N)CC(C)(C)C1
3474	12	[!#1]c1c([!#1])c([!#1])c([!#1])c([!#1])c1[!#1]	CC=1C(O)=C(F)C(F)=C(F)C1F	CC=1C(I)=C(N)C(I)=C(N)C1I	CC=1C(S)=C(Cl)C(Cl)=C(C)C1Cl
3504	13	[!#1]c1c([OH])c2[cH][cH][cH][cH]c2oc1=O	O=C1OC=2C=CC=CC2C(O)=C1C
3510	10	[!#1]c1c(Cl)[cH]c(Cl)[cH]c1Cl	OC=1C(Cl)=CC(Cl)=CC1Cl	SC=1C(Cl)=CC(Cl)=CC1Cl
3511	9	[!#1]c1c(F)[cH][cH][cH]c1F	CC=1C(F)=CC=CC1F
3553	9	[!#1]c1n[nH]c(=O)[nH]c1=O	CC1=NNC(=O)NC1=O
3601	10	[!#1]c1nc2[cH][cH][cH][cH]c2o1	SC1=NC=2C=CC=CC2O1	N=1C=CC=CC1C2=NC=3C=CC=CC3O2	CC1=NC=2C=CC=CC2O1
3604	11	[!#1]c1nc2[cH][cH]c([!#1])[cH]c2[nH]1	OC=1C=CC=2N=C(S)NC2C1	N1=CSC=C1C2=NC3=CC=C(N)C=C3N2
3613	15	[!#1]c1nc2n([!#1])c(=O)n([!#1])c(=O)c2n1[!#1]	O=C1C2=C(N=C(S)N2C)N(C(=O)N1C)C	OC1=NC2=C(C(=O)N(C(=O)N2C)C)N1C
3620	9	[!#1]c1nn([!#1])c([!#1])c1[!#1]	CC1=NN(C)C(C)=C1C	N=1C=NC2=C(C1N)C(=NN2C)C=3C=NC=4C=CC=CC4C3	CC=1C(S)=NN(C=2C=CC=CC2)C1N
3641	7	[!#1]c1nonc1[!#1]	CC1=NON=C1N
3714	4	[!#1]N([CH3])[CH3]	CN(C)C
3844	15	[!#1]N1[CH2][CH2]N([CH2][CH2]1)c2[cH][cH][cH][cH]c2O[CH3]	CN1CCN(C=2C=CC=CC2OC)CC1
3974	10	[!#1]O[CH2][CH]([OH])[CH2][NH][CH]([CH3])[CH3]	COCC(O)CNC(C)C	OC(COC1=CC=CC=2NC=CC12)CNC(C)C	OC(COC1=CC=CC=2C=CC=CC12)CNC(C)C
3995	5	[!#1]O[CH2][CH2][OH]	COCCO
3996	10	[!#1]O[CH2][CH2]c1[cH][cH][cH][cH][cH]1	COCCC=1C=CC=CC1
3999	9	[!#1]O[CH2][CH2]N([CH2][CH3])[CH2][CH3]	COCCN(CC)CC
4076	8	[!#1]OC([!#1])([!#1])C(=O)[!#1]	O=C1NCOC1(C)N	COC(O)(C)C(C)=O	O=C1C=COC1(O)C
4088	6	[!#1]OC(=O)[CH2][CH3]	COC(=O)CC
4091	6	[!#1]OC(=O)[NH][CH3]	O=C(OC)NC
4093	5	[!#1]OC(=O)[NH2]	O=C(OC)N	O=C(OC)N	O=C(OC)N
4094	7	[!#1]OC(=O)C(=[CH2])[CH3]	O=C(OC)C(=C)C
4155	9	[!#1]Oc1[cH][cH]c([OH])[cH][cH]1	COC1=CC=C(O)C=C1
4158	9	[!#1]Oc1[cH][cH]c(Cl)[cH][cH]1	COC1=CC=C(Cl)C=C1
4160	10	[!#1]Oc1[cH][cH]c(O[!#1])[cH][cH]1	COC1=CC=C(OC)C=C1	O(C)C1=CC=C(OC=2C=CC=CC2)C=C1
4165	14	[!#1]Oc1[cH][cH]c2c(=O)c([!#1])[cH]oc2[cH]1	CC1=COC2=CC(OC)=CC=C2C1=O	O=C1C(=COC2=CC(OC)=CC=C21)C=3C=CC=CC3
4179	7	[!#1]OP(=O)([OH])O[!#1]	O=P(O)(OP)OC
4180	8	[!#1]OP(=O)(O[!#1])O[!#1]	COP(=O)(OC)OC
4181	6	[!#1]OS(=O)(=O)[!#1]	COS(=O)(=O)O	NOS(=O)(=O)C=1C=CC=CC1	CS(=O)(=O)OI
4264	5	[!#1]S[CH]([!#1])[!#1]	CSC(F)F	C1NC(S1)C	N1=CN=C(SC(C=2C=CC=CC2)C)C=3NC=NC13
4284	3	[!#1]S[CH3]	CSC	N=1C=CC=CC1SC
4387	14	C(c1ccccc1)c2ccccc2	CC=1C=CC=CC1CC=2C=CC=CC2	NC=1C=CC=2C3=CC=C(O)C=C3CC2C1	NC1=CC=C(Cl)C=C1CC=2C=CC=CC2F
4389	14	C(Cc1ccccc1)c2ccccc2	C(C=1C=CC=CC1)CC=2C=CC=CC2	OC=1C=C(C=C(O)C1O)C2OC3=C(O)C=C(C)C=C3C2	SC1=CC=C2SC=3C=CC=CC3CCC2=C1
4412	7	C=CC(=O)NC=S	O=C(C=C)NC=S
4418	4	C=CC=O	O=CC=C
4450	7	C1C2CCCCC12	C1CCCC2C1C2
4491	16	c1cc2ccccc2n1c3ccccc3	CC1=CC=2C=CC=CC2N1C=3C=CC=CC3	CC=1C=2C=C(O)C(=C)C(=C)C2N(C3=CC=C(C(Cl)=C3)C)C1C	BrC1=CC=CC(=C1)N2C(=C)C(=C)C=3C=CC=CC32
4492	15	C1Cc2ccccc2Nc3ccccc13	N1C=2C=CC=CC2CCC=3C=CC=CC13	OC1=CC=C2NC=3C=CC=CC3CCC2=C1	NC1=CC=C2C(NC=3C=CC=CC3CC2)=C1
4495	11	c1cc2cccnc2s1	CC=1SC=2N=CC=CC2C1N	CC1=CSC=2NC(=O)C(C)=C(O)C12	N1=C2SC=CC2=C(N)C(C)=C1C
4512	13	C1CCC(CC1)c2ccccc2	OC=1C=CC=CC1C2CCCCC2	N1C2=CC=C(N)C=C2C3CCCCC13	CC=1C=C(O)C2=C(OC3CCCCC23)C1C
4513	13	c1ccc(cc1)c2ccccn2	N=1C=CC=CC1C=2C=CC(C)=CC2	CC1=C(C)C=C2C=3C=C(O)C(O)=CC3CCN2C1=O	CC1=CC(=NC(=C)C1=C)C2=CC=CC(=C)C2=C
4549	15	c1ccc2nc3ccccc3cc2c1	NC=1C=2C=CC=CC2N=C3C=CC=CC31	OC=1C(O)=CC=C2C(=O)C=3C(O)=CC(O)=C(O)C3N(C12)C	O=C1C=2C=CC=CC2NC3=CC=C(Cl)C=C13
4551	11	c1ccc2ncccc2c1	CC1=CN=C2C=CC=CC2=C1	O=C1C=C2C(=CC(N)=C(N)N2C)C=C1O	O=C1C=C(C=2C(=CC(=C(S)C2C)C)N1)C
4560	8	C1CCCCCCC1	C1CCCCCCC1	C1CCCC2CC2C1	C1C2CCCC2CC1
4561	7	C1CCCNCC1	C1CCCCCN1	C1CC2CCNC12
4571	13	C1CN(CCN1)c2ccccc2	OC=1C=CC=CC1N2CCNCC2	CC=1C=C(F)C(=C(S)C1N)N2CCNCC2	NC=1C2=NON=C2C=CC1N3CCNCC3
4579	8	C1CN2CCC1CC2	C1CN2CCC1CC2
4588	7	c1cncnc1	NC1=NC=CC=N1	CC1=C(S)NC(=S)N(C1=O)C	CC=1C=NC2=CC=NN2C1C
4593	15	C1COC(C1)n2cnc3cncnc23	O=C1NC=NC2=C1N=CN2C3OCCC3	BrC1=NC=2C(=NC=NC2N1C3OCCC3)N	ClC1=NC(=NC2=C1N=CN2C3OCCC3)N
4606	11	C1CSC(N1)c2ccccc2	S1CCNC1C=2C=CC=CC2	OC1=CC=C2C(CN3CCSC23)=C1O	ClC1=CC=C(C(Cl)=C1)C2SCCN2
4631	2	CBr	BrC
4693	10	CC(=O)c1ccccc1O	O=C(C)C=1C=CC=CC1O	C=C1C(=C)C=2C(=O)COC2C(=C1O)C	O=C1COC=2C=CC=CC12
4697	7	CC(=O)CC(=O)N	O=C1CC(=O)CN1	NC(=O)CC(=O)C
4703	4	CC(=O)N	O=C(C)N
4710	8	CC(=O)NCC(=O)N	NC(=O)CNC(=O)C	O=C1CNC(=O)CN1
4739	7	CC(=O)OCC=O	O=CCOC(=O)C	O=C1COC(=O)C1
4745	7	CC(C)(C)C(=O)N	O=C(N)C(C)(C)C	NC(=O)C1(CC1)C
4757	10	CC(C)(C)c1ccccc1	CC(C)(C)C=1C=CC=CC1	CC=1C=C(O)C2=C(OCC2(C)C)C1C	NC1=C(O)C(N)=C(C2=NCCC=C12)C(C)(C)C
4765	10	CC(C)(C)NCC(O)CO	OCC(O)CNC(C)(C)C	OCC(O)C1NC(C1)(C)C
4769	7	CC(C)(C)OC=O	CC(C)(OC=O)C	O=COC1(CC1)C
4774	9	CC(C)(CCC=O)C=O	O=CCCC(C)(C=O)C	O=C1CCC(C)(C1=O)C	CC1(C=O)CCC(=O)C1
4776	6	CC(C)(O)C#C	C#CC(C)(O)C	C#CC(O)(C)C	CC(O)(C#C)C
4786	11	CC(C)c1ccc(C)c(O)c1	CC1=CC=C(C=C1O)C(C)C	CC=1C=C2C(COC2=C(O)C1C)C	C=C1C(=C)C(=C(O)C(O)=C1C)C(C)C
4788	11	CC(C)C1CCC(C)CC1O	OC1CC(CCC1C(C)C)C	OC12CC(CCC1C2(C)C)C	C1CC2C(C)COC2CC1C
4789	10	CC(C)c1ccc(O)cc1	OC1=CC=C(C=C1)C(C)C	CC1=C(O)C=C2OCC(C)C2=C1O	OC=1C=CC=2C(C=NC2C1C)C
4797	7	CC(C)CC(C)O	CC(O)CC(C)C	CC1COC(C1)C
4798	6	CC(C)CC=O	CC(C)CC=O
4800	8	CC(C)CCC(=O)O	CC(CCC(=O)O)C	O=C1CCC(CO1)C	OC(=O)C1CC1(C)C
4804	5	CC(C)CN	NCC(C)C	NCC1CC1
4813	8	CC(C)NCC(=O)N	CC(C)NCC(N)=O
4814	9	CC(C)NCC(O)CO	OCC(O)CNC(C)C	OC1CC(NCC1O)C	OCC(O)C1NC(C1)C
4820	11	CC(CC=O)c1ccccc1	O=CCC(C)C=1C=CC=CC1	OC=1C=C2C(NC(=O)C3CC23)=CC1C	O=CC1CC1C2=CC=C(Cl)C=C2
4823	9	CC(N)c1ccccc1	CC(N)C=1C=CC=CC1	NC1CNC2=CC=C(Cl)C=C12	CC1=CC=CC2=C1CNC2C
4824	10	CC(NC(=O)CO)C(=O)O	O=C(O)C(C)NC(=O)CO
4825	13	CC(NC(=O)OC(C)(C)C)C(=O)O	O=C(NC(C)C(=O)O)OC(C)(C)C
4828	9	CC(NS(=O)=O)C(=O)O	O=C(O)C(C)NS(=O)=O
4842	5	CC(O)CN	CC(O)CN	NCC1OC1
4843	7	CC(O)CN(C)C	CN(C)CC(O)C	CC1CN(C)CO1	CN(C)CC1CO1
4850	6	CC=CC(=O)N	NC(=O)C=CC	O=C1C=CCN1	O=C1C=CCN1
4863	3	CC=O	O=CC
4882	8	CC1(O)CCCCC1	OC12CC2CCCC1	C1CCCCC12OC2
4897	12	Cc1c(O)ccc2ccccc12	OC=1C=CC=2C=CC=CC2C1C	OC=1C(O)=C2CNC3=CC(=C)C(=C)C(C1O)=C32	OC=1C2=NCC=CC=CCCCCCCCCC=COC3CC4=C(O3)C(=C(O)C1C4=C5NCN=C25)C
4900	13	Cc1cc(=O)c2ccc(O)cc2o1	CC=1OC2=CC(O)=CC=C2C(=O)C1	OC=1C(O)=C(O)C=2C(=O)C(=C(C)OC2C1O)C	CC=1OC2=C(C)C(O)=CC=C2C(=O)C1C=3C=CC=CC3
4904	13	Cc1cc(=O)oc2ccccc12	CC=1C(=O)OC=2C=CC=CC2C1C	O=C1OC=2C(C)=C(O)C=C(O)C2C(=C1)C	CC1=CC(=O)OC=2C=C(N)C(=CC12)C
4918	9	Cc1cc(C)cc(C)c1	CC=1C=C(C)C=C(C)C1	CC=1C(O)=C(C)C(O)=C(C)C1O
4939	7	Cc1ccc(C)o1	CC=1OC(C)=CC1	CC=1C(C)=C(OC1C)C	CC=1C=C(OC1C)C
4942	9	Cc1ccc(C=O)cc1	O=CC1=CC=C(C)C=C1	C=C1C(=C)C(C=O)=C(O)C(O)=C1C	O=CC1=CC(O)=C(C(O)=C1N)C
4948	13	Cc1ccc(cc1)c2ccccc2	CC=1C=CC(=CC1)C=2C=CC=CC2	C=C1C(=C)C=2OCC=3C=C(C)C=C(O)C3C2C=C1O	CC=1C=C(C(O)=C(C)C1C)C=2C=C(C)C(C)=C(C)C2O
4962	9	Cc1ccc(O)c(C)c1	OC1=CC=C(C)C=C1C	C=C1C(C)=C(O)C(=C(O)C1=C)C
4969	9	Cc1ccc(O)cc1C	CC1=CC=C(O)C=C1C	ClC=1C(O)=C(C)C(O)=C(C)C1C	CC1=C(N)C(O)=C(O)C=C1C
4986	8	Cc1cccc(C)n1	CC=1N=C(C)C=CC1	O=C1C(Cl)=C(NC(=C1Cl)C)C
4989	10	Cc1cccc(c1)C(=O)N	O=C(N)C1=CC=CC(=C1)C	OC=1C=C2CNC(=O)C2=C(O)C1C	CC=1C(S)=C(Cl)C(Cl)=C(C(=O)N)C1Cl
4990	10	Cc1cccc(c1)C(=O)O	O=C(O)C=1C=CC=C(C)C1	O=C1OCC=2C1=C(O)C(C)=C(O)C2C	OC(=O)C1=CC(=C)C(=C)C(C)=C1O
4999	8	Cc1cccc(O)c1	OC1=CC=CC(C)=C1	CC=1C=C(Cl)C(N)=C(O)C1O	CC=1C(C)=C(O)C(C)=C(C)C1O
5000	11	Cc1cccc2ccccc12	CC1=CC=CC=2C=CC=CC12	CC=1C(O)=C(C(O)=C2C(O)=C(N)C3=NCN=C3C12)C	C=C1C(=C)C=2C=C(O)C=CC2C(C)=C1C
5005	11	Cc1ccccc1C(F)(F)F	CC=1C=CC=CC1C(F)(F)F	CC1=C(F)C(F)=CC=C1C(F)(F)F	NC=1C=C(C(=CC1C)C)C(F)(F)F
5006	9	Cc1ccccc1C=O	O=CC=1C=CC=CC1C	O=CC1=C(O)C(C)=C(O)C(Cl)=C1C	C=C1C(=C)C=C(C(C=O)=C1O)C
5020	6	Cc1ccn[nH]1	CC1=CC=NN1	CC=1C(=O)N(NC1C)C	NC=1C(O)=NNC1C
5026	6	Cc1ccoc1	CC1=COC=C1	C=C1OC(=C(C1=C)C)C	CC=1OC(N)=C(C)C1
5051	5	CCC(=O)C	O=C(CC)C
5057	8	CCC(=O)NC(C)C	CC(C)NC(=O)CC	CC1NC(=O)CCC1	CC(C)N1CCC1=O
5069	5	CCC(C)N	NC(C)CC
5070	7	CCC(C)NC=O	O=CNC(C)CC	CC1NC(=O)CC1
5072	9	CCC(CC)(C=O)C=O	CCC(C=O)(C=O)CC	O=CC1(C=O)CCCC1
5073	12	CCC(CC)Cc1ccccc1	CCC(CC)CC=1C=CC=CC1	CC1=C(O)C=C2OC(C)C3CCC3C2=C1O	CC1=CC=C2NC3(CCCC3)CC2=C1
5074	20	CCC(CCC(O)c1ccnc2ccccc12)C(C)C	CC(C)C(CC)CCC(O)C=1C=CN=C2C=CC=CC21	OC=1C=CC2=NC=CC(=C2C1)C(O)CCC(CC)C(C)C
5075	7	CCC(N)C(=O)O	O=C1OCCC1N	O=C(O)C(N)CC
5085	15	CCc1cc2c(=O)ccoc2cc1O	CC1=COC2=CC(O)=C(C=C2C1=O)CC	C=C1OC2=CC=3OCCC3C(O)=C2C(=O)C1=C	O=C1C=C(OC2=C(C)C(O)=C(CC)C(O)=C12)C=3C=CC=CC3
5088	10	CCc1ccc(O)c(O)c1	OC1=CC(CC)=CC=C1O	OC=1C=C2CCCC2=CC1O	CC=1C(O)=C(O)C(O)=C(C)C1CC
5091	8	CCC1CCCCN1	N1CCCCC1CC	CC1C2CCC1NC2	N1C2CCCC1CC2
5105	6	CCCC(=O)O	OC(=O)CCC	O=C1CCCO1	OC(=O)C1CC1
5106	10	CCCC(CCC)C(=O)N	O=C1NCCCC1CCC	NC(=O)C1CC2CCC1C2	O=C(N)C(CCC)CCC
5110	12	CCCc1c[nH]c2ccccc12	CCCC1=CNC=2C=CC=CC21	OC=1C=CC=2C=3CCCCC3NC2C1C	C1CCC2=CNC=3C=CC=C1C23
5115	7	CCCCC(=O)N	O=C(N)CCCC	O=C1NCCCC1	O=C1NC(C)CC1
5118	10	CCCCc1ccccc1	CCCCC=1C=CC=CC1	CC=1C(O)=C2C(OC(C)CC2)=C(C1C)C	BrC1=CC=C2C(CCCC2)=C1
5120	6	CCCCCC	CCCCCC	C1CCCCC1	CC=1CCCC1
5121	8	CCCCCC(=O)N	O=C(N)CCCCC	CCC1CCC(=O)N1
5124	8	CCCCCC(=O)O	O=C(O)CCCCC	O=C1CCCC(C)O1	O=C1CC(O1)CCC
5125	10	CCCCCC(C)NC=O	O=CNC(C)CCCCC	O=C1NC(C)CCC1CC	O=CNC1CC2CC1CC2
